,Country name,Population
0,India,"1,428,627,663"
1,China,"1,425,671,352"
2,United States,"339,996,563"
3,Indonesia,"277,534,122"
4,Pakistan,"240,485,658"
5,Nigeria,"223,804,632"
6,Brazil,"216,422,446"
7,Bangladesh,"172,954,319"
8,Russia,"144,444,359"
9,Mexico,"128,455,567"
10,Ethiopia,"126,527,060"
11,Japan,"123,294,513"
12,Philippines,"117,337,368"
13,Egypt,"112,716,598"
14,DR Congo,"102,262,808"
15,Vietnam,"98,858,950"
16,Iran,"89,172,767"
17,Turkey,"85,816,199"
18,Germany,"83,294,633"
19,Thailand,"71,801,279"
20,United Kingdom,"67,736,802"
21,Tanzania,"67,438,106"
22,France,"64,756,584"
23,South Africa,"60,414,495"
24,Italy,"58,870,762"
25,Kenya,"55,100,586"
26,Myanmar,"54,577,997"
27,Colombia,"52,085,168"
28,South Korea,"51,784,059"
29,Uganda,"48,582,334"
30,Sudan,"48,109,006"
31,Spain,"47,519,628"
32,Argentina,"45,773,884"
33,Algeria,"45,606,480"
34,Iraq,"45,504,560"
35,Afghanistan,"42,239,854"
36,Poland,"41,026,067"
37,Canada,"38,781,291"
38,Morocco,"37,840,044"
39,Saudi Arabia,"36,947,025"
40,Ukraine,"36,744,634"
41,Angola,"36,684,202"
42,Uzbekistan,"35,163,944"
43,Yemen,"34,449,825"
44,Peru,"34,352,719"
45,Malaysia,"34,308,525"
46,Ghana,"34,121,985"
47,Mozambique,"33,897,354"
48,Nepal,"30,896,590"
49,Madagascar,"30,325,732"
50,Côte d'Ivoire,"28,873,034"
51,Venezuela,"28,838,499"
52,Cameroon,"28,647,293"
53,Niger,"27,202,843"
54,Australia,"26,439,111"
55,North Korea,"26,160,821"
56,Taiwan,"23,923,276"
57,Mali,"23,293,698"
58,Burkina Faso,"23,251,485"
59,Syria,"23,227,014"
60,Sri Lanka,"21,893,579"
61,Malawi,"20,931,751"
62,Zambia,"20,569,737"
63,Romania,"19,892,812"
64,Chile,"19,629,590"
65,Kazakhstan,"19,606,633"
66,Chad,"18,278,568"
67,Ecuador,"18,190,484"
68,Somalia,"18,143,378"
69,Guatemala,"18,092,026"
70,Senegal,"17,763,163"
71,Netherlands,"17,618,299"
72,Cambodia,"16,944,826"
73,Zimbabwe,"16,665,409"
74,Guinea,"14,190,612"
75,Rwanda,"14,094,683"
76,Benin,"13,712,828"
77,Burundi,"13,238,559"
78,Tunisia,"12,458,223"
79,Bolivia,"12,388,571"
80,Haiti,"11,724,763"
81,Belgium,"11,686,140"
82,Jordan,"11,337,052"
83,Dominican Republic,"11,332,972"
84,Cuba,"11,194,449"
85,South Sudan,"11,088,796"
86,Sweden,"10,612,086"
87,Honduras,"10,593,798"
88,Czech Republic (Czechia),"10,495,295"
89,Azerbaijan,"10,412,651"
90,Greece,"10,341,277"
91,Papua New Guinea,"10,329,931"
92,Portugal,"10,247,605"
93,Hungary,"10,156,239"
94,Tajikistan,"10,143,543"
95,United Arab Emirates,"9,516,871"
96,Belarus,"9,498,238"
97,Israel,"9,174,520"
98,Togo,"9,053,799"
99,Austria,"8,958,960"
100,Switzerland,"8,796,669"
101,Sierra Leone,"8,791,092"
102,Laos,"7,633,779"
103,Hong Kong,"7,491,609"
104,Serbia,"7,149,077"
105,Nicaragua,"7,046,310"
106,Libya,"6,888,388"
107,Paraguay,"6,861,524"
108,Kyrgyzstan,"6,735,347"
109,Bulgaria,"6,687,717"
110,Turkmenistan,"6,516,100"
111,El Salvador,"6,364,943"
112,Congo,"6,106,869"
113,Singapore,"6,014,723"
114,Denmark,"5,910,913"
115,Slovakia,"5,795,199"
116,Central African Republic,"5,742,315"
117,Finland,"5,545,475"
118,Norway,"5,474,360"
119,Liberia,"5,418,377"
120,State of Palestine,"5,371,230"
121,Lebanon,"5,353,930"
122,New Zealand,"5,228,100"
123,Costa Rica,"5,212,173"
124,Ireland,"5,056,935"
125,Mauritania,"4,862,989"
126,Oman,"4,644,384"
127,Panama,"4,468,087"
128,Kuwait,"4,310,108"
129,Croatia,"4,008,617"
130,Eritrea,"3,748,901"
131,Georgia,"3,728,282"
132,Mongolia,"3,447,157"
133,Moldova,"3,435,931"
134,Uruguay,"3,423,108"
135,Puerto Rico,"3,260,314"
136,Bosnia and Herzegovina,"3,210,847"
137,Albania,"2,832,439"
138,Jamaica,"2,825,544"
139,Armenia,"2,777,970"
140,Gambia,"2,773,168"
141,Lithuania,"2,718,352"
142,Qatar,"2,716,391"
143,Botswana,"2,675,352"
144,Namibia,"2,604,172"
145,Gabon,"2,436,566"
146,Lesotho,"2,330,318"
147,Guinea-Bissau,"2,150,842"
148,Slovenia,"2,119,675"
149,North Macedonia,"2,085,679"
150,Latvia,"1,830,211"
151,Equatorial Guinea,"1,714,671"
152,Trinidad and Tobago,"1,534,937"
153,Bahrain,"1,485,509"
154,Timor-Leste,"1,360,596"
155,Estonia,"1,322,765"
156,Mauritius,"1,300,557"
157,Cyprus,"1,260,138"
158,Eswatini,"1,210,822"
159,Djibouti,"1,136,455"
160,Réunion,"981,796"
161,Fiji,"936,375"
162,Comoros,"852,075"
163,Guyana,"813,834"
164,Bhutan,"787,424"
165,Solomon Islands,"740,424"
166,Macao,"704,149"
167,Luxembourg,"654,768"
168,Montenegro,"626,485"
169,Suriname,"623,236"
170,Cabo Verde,"598,682"
171,Western Sahara,"587,259"
172,Micronesia,"544,321"
173,Malta,"535,064"
174,Maldives,"521,021"
175,Brunei,"452,524"
176,Bahamas,"412,623"
177,Belize,"410,825"
178,Guadeloupe,"395,839"
179,Iceland,"375,318"
180,Martinique,"366,981"
181,Mayotte,"335,995"
182,Vanuatu,"334,506"
183,French Guiana,"312,155"
184,French Polynesia,"308,872"
185,New Caledonia,"292,991"
186,Barbados,"281,995"
187,Sao Tome & Principe,"231,856"
188,Samoa,"225,681"
189,Curaçao,"192,077"
190,Saint Lucia,"180,251"
191,Guam,"172,952"
192,Kiribati,"133,515"
193,Grenada,"126,183"
194,Tonga,"107,773"
195,Seychelles,"107,660"
196,Aruba,"106,277"
197,St. Vincent & Grenadines,"103,698"
198,U.S. Virgin Islands,"98,750"
199,Antigua and Barbuda,"94,298"
200,Isle of Man,"84,710"
201,Andorra,"80,088"
202,Dominica,"73,040"
203,Cayman Islands,"69,310"
204,Bermuda,"64,069"
205,Greenland,"56,643"
206,Faeroe Islands,"53,270"
207,Northern Mariana Islands,"49,796"
208,Saint Kitts & Nevis,"47,755"
209,Turks and Caicos,"46,062"
210,Sint Maarten,"44,222"
211,American Samoa,"43,914"
212,Marshall Islands,"41,996"
213,Liechtenstein,"39,584"
214,Monaco,"36,297"
215,San Marino,"33,642"
216,Gibraltar,"32,688"
217,Saint Martin,"32,077"
218,British Virgin Islands,"31,538"
219,Caribbean Netherlands,"27,148"
220,Palau,"18,058"
221,Cook Islands,"17,044"
222,Anguilla,"15,899"
223,Nauru,"12,780"
224,Wallis & Futuna,"11,502"
225,Tuvalu,"11,396"
226,Saint Barthelemy,"10,994"
227,Saint Pierre & Miquelon,"5,840"
228,Saint Helena,"5,314"
229,Montserrat,"4,386"
230,Falkland Islands,"3,791"
231,Niue,"1,935"
232,Tokelau,"1,893"
233,Holy See,518
